"typ","ort","adresse","anzahl","latitude","longitude"
"Öffentlicher Platz","München","Am Harras",1,48.116937,11.539696
"Öffentlicher Platz","München","Am Laimer Anger",1,48.139583,11.499722
"Öffentlicher Platz","München","Effnerplatz",1,48.152053,11.61331
"Öffentlicher Platz","München","Eisbachwelle",1,48.143299,11.587664
"Öffentlicher Platz","München","Ella-Linges-Platz",1,48.109448,11.580458
"Öffentlicher Platz","München","Fuerstenried West",1,48.089022,11.479991
"Öffentlicher Platz","München","Gärtnerplatz",1,48.131938,11.575562
"Öffentlicher Platz","München","Giesing",1,48.110649,11.594981
"Öffentlicher Platz","München","Hasenbergl",1,48.213482,11.55649
"Öffentlicher Platz","München","Hauptbahnhof 
(Haupteingang)",1,48.140178,11.561537
"Öffentlicher Platz","München","Helmut-Fischer-Platz",1,48.162815,11.571408
"Öffentlicher Platz","München","Hohenzollernplatz",1,48.161357,11.568332
"Öffentlicher Platz","München","Innsbrucker Ring",1,48.12043,11.61725
"Öffentlicher Platz","München","Josephsburg",1,48.127107,11.634952
"Öffentlicher Platz","München","Karlsplatz Stachus",1,48.139506,11.566152
"Öffentlicher Platz","München","Kolumbusplatz",1,48.119252,11.576524
"Öffentlicher Platz","München","Königsplatz",1,48.145648,11.563894
"Öffentlicher Platz","München","Lehel",1,48.139489,11.58902
"Öffentlicher Platz","München","Leonrodplatz",1,48.158785,11.54716
"Öffentlicher Platz","München","Mangfallplatz",1,48.097609,11.581043
"Öffentlicher Platz","München","Mariahilfplatz",1,48.125709,11.583
"Öffentlicher Platz","München","Marienhof",1,48.138562,11.575579
"Öffentlicher Platz","München","Münchener Freiheit  
(Bus- und Trambahnhof)",1,48.162629,11.586506
"Öffentlicher Platz","München","Neuperlach Zentrum",1,48.101137,11.645523
"Öffentlicher Platz","München","Neuperlach Zentrum Busplatte",2,48.100902,11.647556
"Öffentlicher Platz","München","Olympia-Einkaufszentrum",1,48.183422,11.531137
"Öffentlicher Platz","München","Orleansplatz",1,48.128563,11.603294
"Öffentlicher Platz","München","Partnachplatz",1,48.116879,11.52664
"Öffentlicher Platz","München","Prinzregentenplatz",2,48.139519,11.606915
"Öffentlicher Platz","München","Rotkreuzplatz",1,48.152831,11.51236
"Öffentlicher Platz","München","Scheidplatz",1,48.170936,11.573068
"Öffentlicher Platz","München","Schwanthalerhöhe",1,48.133612,11.539528
"Öffentlicher Platz","München","Silberhornstr",1,48.115327,11.579466
"Öffentlicher Platz","München","Thalkirchen",1,48.101011,11.546677
"Öffentlicher Platz","München","Theresienwiese",1,48.135896,11.54954
"Öffentlicher Platz","München","Trudering",2,48.125561,11.663359
"Öffentlicher Platz","München","Trudering",1,48.12169,11.670604
"Öffentlicher Platz","München","Viktualienmarkt",1,48.135138,11.576598
"Öffentlicher Platz","München","Weissenburger Platz",1,48.128575,11.596116
"Öffentlicher Platz","München","Weissenburgerstr.",1,48.128665,11.594405
"Öffentlicher Platz","München","Wettersteinplatz",1,48.109056,11.574316
"Öffentlicher Platz","München","Willy-Brand Platz
(Messestadt West)",1,48.13311,11.691526
"Öffentlicher Platz ","München","Wittelsbacher Platz",1,48.14335,11.5761
"Stadtwerke München","München","Münchener Freiheit (Sperre + Bahnsteig)",5,48.161515,11.586589
"TOS","München","Brienner Str.",1,48.143084,11.574497
"TOS","München","Hofgarten",1,48.143398,11.581796
"TOS","München","Isartor",1,48.135284,11.581345
"TOS","München","Karlsplatz Stachus",1,48.139083,11.566419
"TOS","München","Kaufingerstr.",1,48.137944,11.572625
"TOS","München","Königsplatz",1,48.145934,11.56346
"TOS","München","Marienhof",1,48.139392,11.57582
"TOS","München","Max Joseph Platz",1,48.139666,11.577512
"TOS","München","Max Mannheimer Platz",1,48.145259,11.567504
"TOS","München","Maximilianstr.",1,48.138303,11.584898
"TOS","München","Platzl",1,48.137958,11.580036
"TOS","München","Promenadeplatz",1,48.139796,11.573586
"TOS","München","Sebastiansplatz",1,48.134484,11.573955
